---
African Rap
go hard, mo'gunz
win win, ladipoe
sharp sharp, dremo falz
stfu, dremo
yoruba samurai, ladipoe joeboy
like it, praiz ice prince
writer's club, proverb
alakori, falz dice ailes
la vida loca, nasty c
wygdt, mo'gunz
*** wishes, chapta 5
bookoo bucks, nasty c
there they go, nasty c
that's hard, nasty c
zoom, cheque
yagi level, lil kesh
tbdk, mi abaga sinzu
drinks on me, haye yomi olalude
crown of clay, mi abaga vector pheelz
gun fingers, mo'gunz
ye x4, nasty c blxckie
yktfv, king perryy psycho yp
feeling, ladipoe buju
jack, nasty c
savage, show dem camp ladipoe
vipers, show dem camp jesse jagz
align, show dem camp ladipoe
*** 6pm in kaduna, alex ezi
deserve my love, sarkodie
seeheaven, alpha ojini oxlade
i'll be there, sarkodie
rollies and cigars, sarkodie
round 2, sarkodie
nobody, dremo
true story, show dem camp burna boy
finished, vblaiz yomi olalude
blackout, nasty c
yakubu, falz vector
shebaleza, cassper nyovest burna boy mi abaga
chant down babylon, jesse jagz
breaking the yoke of love, blaqbonez
culture gargajiya, classiq
---
Afrobeats High
soso, omah lay
wo wo remix, minz blaqbonez buju
traboski, bnxn
xtra cool, young jonn
adaugo, the cavemen
kulosa remix, oxlade camila cabello
dada remix, young jonn davido
jaiye jaiye, wizkid
gold, limoblaze
money & love, wizkid
2 sugar, wizkid ayra starr
lonely refix, ayra starr zinoleesky
joha, asake
running, ayra starr lojay
star life, blaqbonez
bloody samaritan remix, ayra starr kelly rowland
rush, ayra starr
back in uni, blaqbonez
*** togun togun, greatman takit
propeller, dave bnxn
10 toes, king promise omah lay
leader, lojay
all over, magixx
calm down remix, rema selena gomez
bad to me, wizkid
cold outside, timaya buju
never stopped, buju
kilometer, buju
holy father, mayorkun victony
come my way, wande coal
commando, niniola
too sweet o dun, niniola
to match, pheelz teni
no worry, valvin buju
only fan, lojay dj neptune
this loving, limoblaze johnny drille
if i ever, crayon skiibii
for you, rema dj neptune
feeling good, waje masterkraft
ballon d'or, wizkid burna boy
ozumba mbadiwe, reekado banks
peru, fireboy ed sheeran
alone, oladapo
baddest boy remix, skiibii davido
one woman, adekunle gold
more than enough, adekunle gold
dior dior dior, adekunle gold
it is what it is, adekunle gold
mayana, asa
idg, asa wizkid
love me or give me red wine, asa
calm down, rema
finesse, pheelz bnxn
baddest boy us remix, skiibii tory lanez
want you, oxlade
jo, rema
addicted, rema
are you there, rema
carry, rema
playboy, fireboy dml
his own, oba reengy
apollo, victony
all power, victony
soweto, victony
kolomental, victony
last last, burna boy
balance, adekunle gold simi
science, burna boy
cloak & dagger, burna boy j hus
different size, burna boy victony
vanilla, burna boy
common person, burna boy
bend you, omah lay
how to luv, omah lay
tell everybody, omah lay
diana, fireboy chris brown
compromise, fireboy rema
terminator, asake
organise, asake
peace be unto you, asake
sungba remix, asake burna boy
on the moon, chike
ta ta ta, bayanni
kenkele, bnxn wande coal
ijo laba laba, crayon
desire, limoblaze
machala, carter efe
g love, krept konan wizkid
high, adekunle gold davido
odo, johnny drille
wonder woman, wstrn
*** bloody samaritan, loud cover
want it all, burna boy polo g
geng, mayorkun
farawemi, greatman takit
bobo, mayorun davido
little bit more, jidenna burna boy
trap nation, the gratitude
my love, wale wizkid
baba, greatman takit
confama, greatman takit
juice, ycee maleek berry
bad man, the gratitude
dangote, burna boy
without my heart, tiwa savage don jazzy
pick up, adekunle gold
*** babylon, greatman takit
*** gyrate, kossi
something good is happening, brymo
fans mi, davido meek mill
ohema, mr eazi dj spinall
jeje, wizkid djxclusive
dance for me, eugy mr eazi
wetin man go do, burna boy
been calling, maleek berry
eko miami, maleek berry
bad energy, wizkid skepta
mad over you, runtown
ojuelegba, wizkid
fela in versace, aka
london town, mr eazi giggs
iskaba, wande coal
ye, burna boy
surrender, mr eazi simi
aye, burna boy nappy
dabebi, mr eazi king promise
uyo meyo, teni
fake love, wizkid duncan mighty
ballerz, wande coal
low, wizkid larry gaaga
don gorgon, burna boy
dumebi, rema
gbona, burna boy
jealous, fireboy
different, burna boy damian marley
what if i say, fireboy
kelegbe megbe, adekunle gold
on the low, burna boy
drown, wurld
love riddim, rotimi
shut up, blaqbonez
baby, joeboy
blow my mind, davido chris brown
anybody, burna boy
ja ara e, burna boy
49-99, tiwa savage
brown skin girl, beyonce wizkid
lower body, davido chris brown
pon my mind, maleek berry
woman, rema
money play, burna boy
in my bed, rotimi
don't call me back, joeboy mayorkun
sweat, wurld
gbas gbos, fireboy
bad commando, rema
ego, wurld
blessings, joeboy
cover me, wizkid dj tunez
blow, wizkid blaq jerzee
w, koffee gunna
d&g, davido summer walker
my money my baby, burna boy
again, wande coal
que no salga la luna, rosalia
sun momi, korede bello
shayo, wizkid
dada dread gang, ycee
jore, adekunle gold kizz daniel
malamente, rosalia
love like that, ycee
fe mi, brymo
final baba nla, wizkid
donne-moi, burna boy dadju
nakupenda, chike
we must groove, 2baba burna boy
opo, 2baba wizkid
haba, blaqbonez
4am, rema 6lack
whatever you like, mr eazi loick essien
story, wurld
yeba, kizz daniel
isolova, peruzzi
iron man, rema
i wonder, moelogo
options, reekado bankz
know your worth, khalid davido tems
no further, wande
lenu, burna boy buju
ye ye ye, omah lay
dream girl, ir sais
trouble, tems drb lasgidi
ag baby, adekunle gold
