---
African Rap
go hard, mo'gunz
sweet talker, galantis years & years
a world beyond, fleurie
run free, deep chills
musician, porter robinson
relate r3hab remix, for king & country
headlights, alok & alan walker
run, becky hill galantis
don't forget my love, diplo miguel
everything but you, clean bandit
ipad, the chainsmokers
follow, martin garrix zedd
only you, alesso sentinel
riptide, the chainsmokers
love you back, madeon
if we'll ever be remembered, martin garrix
alive, gryffin
something different, the chainsmokers
i love u, the chainsmokers
if you're serious, the chainsmokers
channel 1, the chainsmokers
i hope you change your mind, the chainsmokers
cyanide, the chainsmokers
burning bridges, sigrid
pretty, astrid s dagny
brightsider, dagny
lost without you, kygo
colors, gryffin blanke
grapevine, lane 8
free woman, lady gaga
stay awake, don diablo
too much to ask, don diablo
piece of me, gryffin lova
love me now, kygo
broken mirror, elderbrook
stargazing, kygo
stay, zedd alessia cara
break a little, kirstin
setting fires, the chainsmokers
it ain't me, kygo selena gomez
new york city, the chainsmokers
all we know, the chainsmokers
hotter than hell, dua lipa
lonely together, avicii rita ora
stole the show, kygo
first time, kygo ellie goulding
find me, sigma birdy
until you were gone, the chainsmokers
closer, the chainsmokers halsey
home, madeon
this town, kygo
don't say, the chainsmokers
inside out, the chainsmokers
don't let me down, the chainsmokers daya
firestone, kygo
never forget you, zara larsson
something just like this, the chainsmokers
*** inside out chainsmokers cover, monlee
born to be yours, kygo imagine dragons
my type, the chainsmokers emily warren
so much better, avicii
dose of you, kirstin
it won't kill ya, the chainsmokers
ocean, martin garrix khalid
pave, britt nicole
destinations, alesso
shelter, porter robinson madeon
paris, the chainsmokers
honest, the chainsmokers
kids in love, kygo
wake up alone, the chainsmokers
love with your life, hollyn
young, the chainsmokers
all this love, alesso
last day alive, the chainsmokers
starving, zedd alessia cara
i want you to know, zedd
beautiful now, zedd jon bellion
riding shotgun, kygo
stranger things, kygo
hymn for the weekend, coldplay
don't you worry child radio edit, swedish house mafia
good intentions, r3hab
diamonds, gawvi jannine weigel
rich love, onerepublic seeb
let me go, alesso
lullaby, sigala paloma faith
still got me, gawvi
either way, snakehips anne marie
everybody hates me, the chainsmokers
eyes closed, r3hab
the spectre, alan walker
alone, alan walker
a sky full of stars, coldplay
sick boy felix palmqvist remix, the chainsmokers
sick boy, the chainsmokers
somebody, the chainsmokers drew love
the middle, zedd
silhouettes, avicii
scared to be lonely, martin garrix bebe rexha
so far away, martin garrix bebe rexha
in the name of low, martin garrix bebe rexha
beach house, the chainsmokers
pray to god, calvin harris
radio  silence, r3hab
don't leave me alone, david guetta
high on life, martin garrix bonn
ain't that way, r3hab
light headed, david guetta sia
this feeling, the chainsmokers
waiting for tomorrow, martin garrix
drive, david guetta black coffee
between us, bebe rexha
hope, the chainsmokers winona oak
bang bang, major lazer
gold skies, martin garrix sander van doom
let me down slowly, alec benjamin
who do you love, the chainsmokers
darkside, alan walker
sos, avicii aloe blacc
not ok, kygo
call you mine, the chainsmokers
heaven, avicii
peace of mind, avicii
ain't a thing, avicii bonn
hold the line, avicii
all the time, zara larsson
never leave me, avicii
fades away, avicii
takeaway, the chainsmokers illenium
trigger, major lazer khalid
nobody compares to you, gryffin
family, the chainsmokers kygo
something about you, elderbrook rudimental
new blood, steve aoki
daylight, steve aoki tory lanez
let it be me, steve aoki
1 4 u, steve aoki
inside out, steve aoki
happy now, zedd
be kind, marshmello halsey
forever yours, avicii
the truth, kygo
lose somebody, kygo onerepublic
bones, galantis onerepublic
beautiful, kygo
faith, galantis
broken glass, kygo kim petras
hunter, galantis
people you know, selena gomez
fuck tomorrow now, galantis
pillow fight, galantis
no money, galantis
something just like this, the chainsmokers coldplay
cruel world, seeb skip marley
die for you, zara larsson
miracle, madeon
lie for you, snakehips davido
honest, san holo
cry, gryffin john martin
funny, zedd
sad in scandinavia, seeb
safe zone, seeb emelie hollow
little things, louis the child
innocence, madeon
are you happy, shy martin
foundation, bronson
make us never happen, shy martin
teary eyes, katy perry
weddings & funerals, royal & the serpent
ok not to be ok, marshmello
empty, kiiara
numb, kiiara
sad, lany
bad one, kiiara
feels, kiiara
bottle's bout dead, diplo
would you, the vamps
midnight, alesso liam payne
the end, alesso
better, the vamps
no chill, cheat codes
sleepwalk, seeb
you, benny blanco marshmello
one more dance, r3hab
colourblind, seeb
cool, dua lipa
drink about, seeb dagny
fade out, seeb
why change, seeb
free to go, seeb
feel it again, seeb
last dance, seeb kiddo
don't you wanna play, seeb
look at the sky, porter robinson
i need love, zara larsson
ruin my life, zara larsson
fake a smile, alan walker
kill the fire, robin schulz
take you down, illenium
need someone, zara larsson
higher, clean bandit
broken ones, illenium
stronger, lemon fight
in your eyes, robin schulz
all we got, robin schulz
empty, bebe rexha
sad songs, illenium
between our hearts, cheat codes
mama, bebe rexha
in your arms, illenium
feel good, illenium gryffin
let you go, illenium
lonely, illenium
needed you, illenium
crawl outta love, illenium
hold on, illenium
afterlife, illenium
good things fall apart, illenium
fortress, illenium
free fall, illenium
that's why, illenium
where'd you go, illenium
fractures, illenium
do it all over, cheat codes
lost, maroon 5
echo, maroon 5
blame myself, illenium
i believe i'm fine, robin schulz hugel
fragments, illenium
sideways, illenium
tie me down, gryffin
unlovable, anne marie rudimental
first time, illenium
you for me, sigala rita ora
u & me, illenium
night light, illenium
hearts on fire, illenium
lay it down, illenium
who i am, anne marie
our song, anne marie
in my mind, illenium
brave soul, illenium
tears of gold, faouzia
here with me, marshmello
a beautiful dream, luke hemmings
you remind me, gryffin
hymn for the missing guillotine remix, red
gone jsapp remix, red
love we lost, armin van buuren
roll the dice, armin van buuren
feel again reprise, armin van buuren
one night left, cheat codes
if you want somebody, elderbrook
howl, elderbrook
by your side, jonas blue raye
---
Eminem
the sauce, eminem
parables remix, cordae eminem
gospel, dr dre eminem
without me, eminem
stimulate, eminem
use this gospel, dj khaled eminem
last one standing, skylar grey eminem
welcome 2 hell, bad meets evil
baby, eminem
fastlane, bad meets evil
white america, eminem
when i'm gone, eminem
business, eminem
cleanin' out my closet, eminem
no favors, big sean eminem
square dance, eminem
like toy soldiers, eminem
lose yourself, eminem
the re-up, eminem
soldier, eminem
you don't know, eminem
say goodbye to hollywood, eminem
take from me, bad meets evil
darkness, eminem
no love, eminem lil wayne
little engine, eminem
sing for the moment, eminem
say what you say, eminem
untitled, eminem
till i collapse, eminem
good guy, eminem jessie reyez
no apologies, eminem
premonition intro, eminem
phenomenal, eminem
i need a doctor, eminem dr dre
unaccommodating, eminem
kim, eminem
you gon' learn, eminem
the way i am, eminem
forever, drake kanye west lil wayne eminem
buffalo bill, eminem
underground, eminem
beautiful, eminem
not alike, eminem
killshot, eminem
mockingbird, eminem
stepping stone, eminem
lucky you, eminem joyner lucas
the ringer, eminem
renegade, eminem jay z
medicine man, eminem dr dre
stan, eminem
rainy days, eminem boogie
homicide, logic eminem
i will, eminem
book of rhymes, eminem
gnat, eminem
killer, eminem
kill you, eminem
the real slim shady, eminem
superman, eminem
---
Emo
lonely highway, eli sostre
hennessy memories, tory lanez
dyw, eli sostre
pictures, eli sostre
understand, tory lanez
trophy, eli sostre
dms, eli sostre
blueprint, eli sostre
way back, eli sostre
cooped up, post malone roddy ricch
still got it, anfa rose eli sostre
washing off the blood, powfu
in the dark, swae lee jhene aiko
snowflake, powfu jaden
pch, jaden smith
how could you leave us, nf
wonder if you wonder, witt lowry
happier, witt lowry
shade of blue, powfu
not love, token
pink, token
don't tell me, connor price
roots, connor price
happy face, connor price
dangerous, phora
breathe, nf
lie, halsey quavo
if you want love, nf
movies, witt lowry
remember this, nf
coupons, witt lowry
can you hold me, nf britt nicole
forgot about me, witt lowry
lately, witt lowry
last letter, witt lowry
outcast, nf
10 feet down, nf
losing you, witt lowry
dreams, nf
let you down, nf
phone, witt lowry
let me know, witt lowry
my life, nf
better for me, witt lowry
hate to say, tory lanez
epiphany, futuristic nf
never know, nf
rockstar, post malone 21 savage
keep in touch, tory lanez bryson tiller
debt, witt lowry
loaded gun, 6lack
nonchalant, 6lack
hurt, witt lowry
alone, witt lowry
alone, witt lowry
goodbyes, post malone young thug
hear me calling, juice wrld
only, nf sasha sloan
let me go, nf
i miss the days, nf
time, nf
hollywood's bleeding, post malone
change, nf
smile, dj snake bryson tiller
nate, nf
paid my dues, nf
never roads, witt lowry
welcome, wit lowry
who needs love, tory lanez
10 fucks, tory lanez
dope boy's diary, tory lanez
msg 4 god's children, tory lanez
love me like, phora
stuck in my ways, phora 6lack
sinner pt 3, phora
the way you see me, powfu
death bed, powfu
life's a mess, juice wrld halsey
nostalgia cycle, g-eazy
righteous, g-eazy
been through this, juice wrld miley cyrus
rainbow bap, jaden
always forever, bryson tiller
timeless interlude, bryson tiller
things change, bryson tiller
just another interlude, bryson tiller
years go by, bryson tiller
just got it done, tory lanez
care for you, tory lanez
in the air, tory lanez
let em' know, bryson tiller
photograph, jaden
drops of sun, jaden
don't, bryson tiller
a woman, tory lanez
nobody else, eli sostre
sorry but i had to, tory lanez
who do you call, eli sostre
been that way, bryson tiller
look how god works, tory lanez
overtime, bryson tiller
the birth of syre, jaden
falling apart, eli sostre
when the night comes, eli sostre
fish, eli sostre
hate the way, g-eazy blackbear
saving face, eli sostre
runway, eli sostre
once in a blue, eli sostre
kings, eli sostre
made it, eli sostre
cupid's curse, phora
sinner pt 4, phora
too fast, eli sostre
love yourself 2, phora
reminds me of you, juice wrld the kil laroi
beat the odds, eli sostre
running, the kid laroi
need you most, the kid laroi
selfish, the kid laroi
better now, post malone
i'll come back to you, powfu
i'm scared of falling in love, phora
room 427, phora
the art of letting go, phora
where do we go when there's nothing left, phora
like clockwork, bryson tiller
just like you, nf
story, nf
prideful, nf
drifting, nf
motley crew, post malone
down n' low, rico maz
bye, jaden
cabin fever from the hill, jaden
lucy day tripper's edition, jaden
cabin fever, jaden
your voice bethel ny, jaden
3 am, nf
the let out, jidenna
a little different, token
dreaming with our eyes open, witt lowry
running wild, g-eazy
mama, nf
happy, nf
gone, nf
mistake, nf
running, nf
lucid dreams, juice wrld
i fall apart, post malone
---
J. Cole
johnny p's caddy, benny the butcher j. cole
scared money, j. cole
freedom of speech, j. cole
london, bia j. cole
heaven's ep, j. cole
your heart, joyner lucas j. cole
poke it out, wale j. cole
visions of home, j. cole
friday night lights intro, j. cole
cole summer, j. cole
brackets, j. cole
grew up fast, j. cole
january 28th, j. cole
knock on wood, j. cole
simba, j. cole
dollar and a dream iii, j. cole
osom, jay rock j. cole
immortal, j. cole
be freestyle, j. cole
before i'm gone, j. cole
chris tucker, j. cole 2 chainz
deja vu, j. cole
adolescence, j. cole
caged bird, j. cole omen
how high, j. cole
back to the topic, j. cole
tears of odb, j. cole
grown simba, j. cole
revenge of the dreamers, j. cole
just to get by, j. cole
jermaine's interlude, j. cole dj khaled
zendaya, j. cole cozz
fire squad, j. cole
villematic, j. cole
sideline story, j. cole
change, j. cole
i really mean it, j. cole
dead presidents ii, j. cole
neighbors, j. cole
g.o.m.d, j. cole
mama told me, j. cole omen
show me something, j. cole
blow up, j. cole
she's mine pt. 2, j. cole
cole world, j. cole
jodeci, drake j. cole
no role modelz, j. cole
night job, j. cole bas
world is empty, j. cole
shook ones freestyle, j. cole
things change, j. cole omen
lost ones, j. cole
4 your eyez only, j. cole
apparently, j. cole
return of simba, j. cole
2face, j. cole
legendary, j. cole
nobody's perfect, j. cole missy elliott
love yourz, j. cole
knock tha hustle, cozz j. cole
note to self, j. cole
rise and shine, j. cole
cost me a lot, j. cole
lil ghetto nigga, j. cole
god's gift, j. cole
heartache, j. cole
kod, j. cole
breakdown, j. cole
farewell, j. cole
who dat, j. cole
last call, j. cole
black friday, j. cole
atm, j. cole
motiv8, j. cole
everybody dies, j. cole
false prophets, j. cole
in the morning, j. cole drake
it won't be long, j. cole
killers, j. cole
let nas down, j. cole
miss america, j. cole
niggaz know, j. cole
nothing like it, j. cole
runaway, j. cole
trouble, j. cole
villuminati, j. cole
new york times, j. cole
born sinner, j. cole
forbidden fruit, j. cole kendrick lamar
power grip, j. cole
crooked smile, j. cole
high for hours, j. cole
i'm a fool, j. cole
see it to believe it, j. cole
the cure, j. cole
they ready, j. cole kendrick lamar
kevin's hart, j. cole
once an addict, j. cole
window pain outro, j. cole
friends, j. cole
1985, j. cole
american dream, j. cole jeezy kendrick lamar
boblo boat, j. cole royce da 59
my boy, wale j. cole
tribe, bas j. cole
trippy, anderson paak j. cole
sojourner, j. cole rapsody
a lot, 21 savage j. cole
24k of gold, j. cole
middle child, j. cole
can't get enough, j. cole trey songz
rich niggaz, j. cole
mo money, j. cole
sparks will fly, j. cole jhene aiko
a tale of 2 citiez live, j. cole
off deez, jid j. cole
stay, j. cole
rather be with you, j. cole
kenny lofton, j. cole young jeezy
can i holla at ya, j. cole
bitchez, j. cole dreamville
a tale of 2 citiez, j. cole
beautiful bliss, j. cole wale
the london, j. cole young thug
lit, j. cole bas
under the sun, j. cole dreamville
pretty little fears, j. cole 6lack
album of the year, j. cole
snow on tha bluff, j. cole
lion king on ice, j. cole
planes, j. cole
2012, j. cole
too deep for the intro, j. cole
no sleep, j. cole janet jackson
my nigga just made bail, j. cole
animals remix, j. cole maroon 5
like it or love it, j. cole wretch 32
pray, j. cole the game
a star is born, jay z j. cole
lakers freestyle, j. cole
hunger on hillside, j. cole
close, j. cole
the climb back, j. cole
interlude, j. cole
let go my hand, j. cole
pride is the devil, j. cole
100 mil, j. cole
punchin' the clock, j. cole
applying pressure, j. cole
my life, j. cole
95 south, j. cole
the jackie, j. cole bas
adonis interlude, j. cole
procrastination, j. cole
wet dreamz, j. cole
on the street, j-hope, j. cole
---
LoFi
wales, kota the friend
pennywise, kota the friend
life lessons, kota the friend
mt fuji, kota the friend
tibet, kota the friend
she pt 2, kota the friend
paris, kota the friend
moonshooter, ab soul
goodman, ab soul
do better, ab soul
gang'nem, ab soul
sheep, russ
no make-up, kendrick lamar
black boy fly, kendrick lamar
sinister, cordae lil wayne
jean-michel, cordae
scapegoat, kota the friend
twenty-nine, kota the friend
bitter, kota the friend
prodigal son, kota the friend
breathe, kota the friend
for troubled boys, kota the friend
boy, kota the friend
breath control, logic
head high, joey badass
father time, kendrick lamar
we cry together, kendrick lamar
savior, kendrick lamar
mother i sober, kendrick lamar
die hard, kendrick lamar
walkin, denzel curry
vinyl days, logic
in my lifetime, logic
therapy music, logic russ
kody blu 31, jid
the baddest, joey badass diddy
make mefeel, joey badass
where i belong, joey badass
cruise control, joey badass
show me, joey badass
survivors guilt, joey badass
ghoti, lupe fiasco
the highs & the lows, chance the rapper joey badass
free write, d smoke
dirty mercedes, d smoke
why run, d smoke
stay true, d smoke
better half, d smoke
clockwork, d smoke
changes, lute
eye to eye, lute
myself, lute devn
for my people, joey badass
bout it, cozz garren
feel, kendrick lamar
still dreamin, dreamville jid
44 bars, logic
duckworth, kendrick lamar
just a man, logic
nina, rapsody
inglewood high, d smoke
offering, jaden
ocd, logic dwn2earth
getting every dollar, lute
no commas, d smoke
gasper yanga, d smoke snoop dogg
fallin', d smoke
lights on, d smoke sir
black habits ii, d smoke
sing about me i'm dying of thirst, kendrick lamar
the light, joey badass
no explanation, joey badass pusha t
sing about me intro, king los
fall slowly, joyner lucas ashanti
evolution, joyner lucas
sauce, reason vince staples
like a river, joyner lucas
rapture, d smoke
something more, reason
stories i forgot, reason
fall, reason
flick it up, reason
rendezvous, jack harlow
keep it 100, joyner lucas
coat check, nyck caution
kids that wish, nyck caution
anywhere but here, nyck caution
how you live it, nyck caution
the heart & the tongue, chance the rapper
legend, joyner lucas rick ross
take me home, vince staples
peloton, idk
good kid, kendrick lamar
rare, nas
dogs don't lie, idk
culture, dreamville mez
high noon, kota the friend
real ones, kota the friend
elevator, kota the friend
go brooklyn, kota the friend
maybe so, kota the friend
one life, kota that friend
valleys, kota the friend
free not woke, kota the friend
halfbreed game 6, logic
land of the free, flawless real talk
---
Mzansi
ngiyakhuza, prince bulo
hlelo, simmy msaki
ngikhokhele, boohle
summeryomuthi, blaq diamond
lighthouse, da capo sun-el musician
never never, sun-el musician
esibayeni, sun-el musician
i like it anyway, sun-el musician ami faku
ululate, sun-el musician
mafikizolo, mamezala simmy
respond, mići sun-el musician
sibonga wena, nobuhle
higher, shimza nobuhle
thina sobabili, de mthuda boohle
abasiyeke, mafikizolo zakes bantwini
with you, sun-el musician desiree dawson
umalukatane, sun-el musician s-tone
sonini, sun-el musician simmy
the wave, sun-el musician
your love, azana
umbuso, boohle josiah de disciple
uwrongo, prince kaybee shimza black motion ami faku
fixate, shekhinah
outro, prince kaybee
mpumalanga, prince kaybee lebothegreat
ebabayo, prince kaybee nokwazi
insurance, prince kaybee king monada
umenitosha, prince kaybee polaris
garden, sun-el musician
mngani wami, sun-el musician
gugulethu, prince kaybee indlovukazi
kwalula, sun-el musician
goduka, sun-el musician
lengane, sun-el musician
superhero, sun-el musician
amasosha, sun-el musician
buyisa, sun-el musician
uhuru, sun-el musician
ilanga, sun-el musician
ubala, simmy sun-el musician
ubomi abumanga, sun-el musician msaki
mama, boohle josiah de disciple
ngiyesaba, simmy
vele kungcono, simmy
emakhaya, da capo sun-el musician
eloyi, nobuhle black motion
nkiya nkiya, nobuhle
bayede, nobuhle mandisa
umkhuleko, nobuhle
sawubona, nobuhle sun-el musician
sbindi uyabulala, prince kaybee masuda
ngeke balunge, mafikizolo
siyathandana, cassper nyovest abidoza boohle
forget you, lemon herb
ladon, manyelo dafro bassekou kouyate
zube nami, sun-el musician yamisava
induku enhle, boohle ta skipper
lavo, heavy k boohle msk
breakfast in soweto, prince kaybee mandlin beams
sofa silahlane, wanitwa mos master kg
jerusalema, nobhule de mthuda
omunye, distruction_boyz
jerusalema remix, masterft burna boy
heal afrika, manyelo dafro
italy refix, buju blaq diamond
kuja utanipata, msaki sun-el musician
abo mvelo, daliwonga
oyini, lady du reekado banks
asibe happy, ami faku kabza de small
adiwele, young stunna
shukushuku, vigro deep
hamba wena, boohle deep london
paris, q-mark tpzee
sha sha, themba lami
---
Pop
viva la vida, coldplay
dancing in the kitchen, lany
til i don't, lany
come home, ava max
my universe, coldplay bts
what if i told you, daya
through your eyes, britt nicole
heavy, anne marie
colors, halsey
human, onerepublic
words, daya
alarm, anne marie
towards the sun, rihanna
dusk till dawn, zayn sia
for you, liam payne rita ora
not 20 anymore, bebe rexha
daisies, katy perry
babygirl, meghan trainor
nobody's love, maroon 5
don't take the money, bleachers
midnight sky, miley cyrus
wild life, onerepublic
tiny, major lazer beam shenseea
heart won't kill me, lany
treading water, the vamps
beautiful mistakes, maroon5 megan thee stallion
this is heaven, nick jonas
prisoner, miley cyrus dua lipa
stay, justin bieber the kid laroi
way too long, anne marie
savior, onerepublic
take care of you, onerepublic
someday acoustic, onerepublic
distance, onerepublic
someday, onerepublic
therapy, anne marie
hurt from mercury, tory lanez
i like you, post malone doja cat
it doesn't matter, tory lanez
jealousy, sarah reeves
fireflies owl city cover, sara kays
subject to change, kelsea ballerini
even at my worst, blanca
forvr, sal ly
wish you were here, lukas graham khalid
biutyful, coldplay
soft landing, jp saxe
vampire at the swimming pool, skylar grey
evil, daya
millenium angel, fleurie
sirens, fleurie
constellate, fleurie
infinity, jaymes young
you keep me crawling, aurora
a dangerous thing, aurora
carry me, ghostly kisses
when you look at me, sara kays
language, anthem lights
empty, tauren wells
psychofreak, camila cabello willow
the woman i am, aurora
space, tobymac kevin max
ride, doja cat
why why, doja cat gunna
somewhere, lany
care less, lany
for god is with us, for king & country
red eye, justin bieber
bombs away, jonathan thulin
gold, britt nicole
chandelier, sia
run wild, for king & country
*** the choice, hsgm 2012
you da one, rihanna
bird set free, sia
lucky, aurora
payphone, maroon 5
freefall, royal tailor
ready aim, mali music
i lied, nicki minaj
wait your turn, rihanna
alive, sia
shadow, birdy
hold me together, royal tailor
new americana, halsey
hard, rihanna jeezy
all time low, jon bellion
lose control, timbaland
all my love, hollyn
wild thoughts, dj khaled rihanna
kids, onerepublic
bambi, jidenna
deep end, birdy
meet in tha middle, timbaland
walking the wire, imagine dragons
gravity pulling heaven down, royal tailor
huts, emeli sande
nothing but you, tauren wells
i bet my life, imagine dragons
on top of the world, imagine dragons
rise up, imagine dragons
a.i, onerepublic
steady, for king & country
god only knows, for king & country
russian roulette, rihanna
choke, onerepublic
stand, britt nicole
better, onerepublic
as i am, justin bieber khalid
lightning, little mix
beautiful nightmare, skylar grey
what happened to, kevin hart
haunting, halsey
gasoline, halsey
lift me up, onerepublic
hand of god outro, jon bellion
hold on, gawvi sydney wilson
we are, daya
*** one punch man, monlee
graveyard, halsey
superbass, nicki minaj
closer, gawvi
havana, camila cabello young thug
runaway, aurora
power, little mix stormzy
winter bird, aurora
dancing in the dark, rihanna
eye of the needle, sia
freedom, pharrel williams
gone gone gone, phillip phillips
running with the wolves, aurora
run up, nicki minaj
my heart is open, maroon 5 gwen stefani
cold, maroon 5 future
*** by the anguwar, monlee
bitch better have my money, rihanna
you're never fully dressed without a smile, sia
surrender, blanca
how you remember me, magic
live like a dream, thirty seconds to mars
rider, thirty seconds to mars
love is madness, thirty seconds to mars
the river, aurora
pillow talk, zayn malik
juicy, doja cat tyga
trampoline, jidenna
birds, imagine dragons elisa
man down, shakka
anima, aurora
soulless creatures, aurora
shameless, camila cabello
wanted, onerepublic
humble beginnings, bazzi
no way, bazzi
running over, justin bieber lil dicky
fuck i'm lonely, lauv anne marie
the other girl, kelse ballerini halsey
bad guy, billie eilish
roll with us, doja cat
say so, doja cat
rare, selena gomez
souvenir, selena gomez
crowded room, selena gomez
don't look back rick and morty, kotomi ryan elder
hit me up, stefflon don
brightest blue, ellie goulding
love i'm given, ellie goulding
no love, skip marley
hurtin me, stefflon don french montana
flux, ellie goulding
holy, justin bieber chance the rapper
paradise, sarah reeves
don't feel like fighting, sarah reeves
middle of the fire, rebecca st james
ghost, justin bieber
speak life, damian marley
caution, damian marley
slave mill, damian marley
insane sometimes, grace vanderwaal
the quiet, troye sivan
hands in it, evan and eris
ink, coldplay
hallelujah, bea miller
la la la, sam smith
la ballerini album version, kelsea ballerini
the other girl ballerini album version, kelsea ballerini
bad news, lany
winter, goody grace burna boy
anyone, justin bieber
is it just me, sasha sloan
die for you, justin bieber
hold on, justin bieber
somebody, justin bieber
love you different, justin bieber beam
deserve you, justin bieber
nervous, nick jones
spiritual man, lanks
rebel, zum shenseea
saved my life, sia
2x2, beam
hotel andrea, blackbear
freedom, justin bieber beam
blood in the water, joanna jones the dame
magic, coldplay
run, onerepublic
arcade, duncan laurence
deja vu, olivia rodrigo
choker, twenty one pilots
i don't do drugs, doja cat ariana grande
can't leave you alone, maroon 5
montana, daya
you right, doja cat the weeknd
alone, doja cat
button, maroon 5
options, doja cat jid
remedy, maroon 5
convince me otherwise, maroon 5 h.e.r
breathing, anne marie
why are girls, blackbear
better not together, anne marie
healing, fletcher
overheated, billie eilish
lips on you, maroon 5
rainy days, isomers
alone in a room full of people, blackbear
u love u, blackbear
not sad anymore, clara mae
whispers, halsey
better days, onerepublic
blood in the wine, aurora
this is me, keala settle
a million dreams, hugh jackman
counting stars, onerepublic
let's hurt tonight, onerepublic
paradise, coldplay
roman holiday, halsey
heavy, linkin part kiiara
natural, imagine dragons
fingertips, onerepublic
start over, imagine dragons
matter, for king & country
it's not over yet, for king & country
apologize remix, onerepublic
the catalyst, linkin park
heaven, onerepublic
another's arms, coldplay
believer, imagine dragons lil wayne
mike's song, walk off the earth
i lived, onerepublic
christmas saves the year, twenty one pilots
no drama, tinashe offset
strange birds, birdy
bloodline, georgia ku
the seed, aurora
see me, talos
try me, tems
fantasy, kali uchis don toliver
night changes, one direction
something better
starboy, the weeknd
bored, sara keys
love you more, felix cartal
beautiful life, bebe rexha
jt, jon bellion
celebrate, evan ford
be the one, bree runway khalid
something better, blanca tauren wells
by the end of the night, ellie goulding
love goes on, ellie goulding
---
R&B
under the influence, chris brown
hold me closs, aaron cole
gone girl, sza
nobody get me, sza
conceited, sza
lift me up, rihanna
nervous, john legend
i don't love you like i used to, john legend
will it ever feel the same, bazzi
you know wassup, kehlani
prayers for this world, pentatonix
no woman no cry, tems
easy on me, adele
my little love, adele
to be loved, adele
voicemail, khalid kiana lede
wrap me up, jhene aiko
shiesty, kyle
optimistic, kyle
forfeit, kiana lede
if you hate me, kiana lede
cancelled, kiana lede
never was wrong, blxst
couldn't wait for it, blxst
still omw, blxst
keep comin' back, blxst
everything, kehlani
questions, shekhinah
what if, neyo
save the world, pentatonix
ashes, celine dion
lsd, jhene aiko
virginia boy, aaron cole
the vapors, jhene aiko vince staples
wide awake, somo
bed peace, jhene aiko
stranger, jhene aiko
w.a.y.s, jhene aiko
breathing underwater, emeli sande
feeling good, lauryn hill
beautiful, mali music
the good in me jon bellion cover, monlee
while we're young, jhene aiko
happen, emeli sande
halo, beyonce
i'm yours, alessia cara
moments, jhene aiko big sean
secret love song, little mix jason derulo
spotless mind, jhene aiko
wth, jhene aiko ab-soul
vertigo, jason derulo
moving mountains, usher
the worst, jhene aiko
made of music, monlee
tables turn, timbaland
him, sam smith
known, tauren wells
walking shoes, mali music
california king bed, rihanna
coaster, khalid
downtime, usher
comfort inn ending, jhene aiko
wading, jhene aiko
no peace, sam smith
hallelujah, pentatonix
love in the dark, adele
sandcastles, beyonce
stand, trey songz
love on top, beyonce
i was here, beyonce
god's not done with you, tauren wells
consequences, camila cabello
lonely, emeli sande
you vs them, jhene aiko
i put a spell on you, alice smith
escape, kehlani
overstimulated, jhene aiko
remember, jhene aiko
roses 103 ghost, christon gray
close to you, rihanna
follow you, christon gray
cry, rihanna
fck boys, blxst russ
ashes, grace carter
oblivion, jhene aiko
kung fu, emeli sande
ave maria, beyonce
frequency, jhene aiko
ascension, jhene aiko brandy
xo, beyonce
feels like summer, childish gambino
contradiction, mali music jhene aiko
marvin's room, jojo
i was made for loving you, tori kelly ed sheeran
little drummer boy, pentatonix
speak, jhene aiko
somebody that i used to know, pentatonix
there goes my baby, usher
the matrimony, usher wale
million voices, wyclef jean
b.s, jhene aiko
daft punk, pentatonix
o holy night, pentatonix
i miss you, adele
don't forget, blxst
hold me by the heart, kehlani
worst luck, 6lack
who you are, aaron cole
luving u, 6lack
best part, daniel caesar h.e.r
switch, 6lack
better, khalid
unfair, 6lack
sorry, 6lack
exclusive, aaron cole
first fuck, 6lack jhene aiko
saturday nights, khalid
awa love, monlee
intro, khalid
imported, jessie reyez 6lack
sea of lovers, christina perri
church, samm henshaw earthgang
i'll be there, jess glynn
caught up, majid jordan khalid
blame, bryson tiller
f you i love you, kyle teyana taylor
bigger, beyonce
u say, the bonfyre 6lack
can't say no, akon
overtime, chris brown
live forever, bazzi
talk about us, jason derulo
heat, chris brown
don't check on me, chris brown justin bieber
sorry enough, chris brown
cheetah, chris brown
older, sasha sloan
none of your concern, jhene aiko big sean
lying down, celine dion
imperfections, celine dion
happiness over everything, jhene aiko
one way st, jhene aiko
surrender, jhene aiko
feelings, lauv
born tired, jhene aiko
mourning doves, jhene aiko
pray for you, jhene aiko
lightning & thunder, jhene aiko
magic hour, jhene aiko
canada, lauv
triggered, jhene aiko
mean it, lauv lany
pussy fairy otw, jhene aiko
julia, lauv
modern loneliness, lauv
gone away, h.e.r
translucent, sal ly
otw, khalid 6lack ty dolla sign
open passionate, kehlani
i can't breathe, h.e.r
red flag, praiz niyola
wild, john legend
bigger love, john legend
u move i move, john legend jhene aiko
naked, james arthur
love somebody, lauv
you, james arthur
i cry, usher
ransom, saint jhn
wherever you go, aloe blacc
things i should of said, tory lanez
i do, aloe blacc
harvard, aloe blacc
anything 4 u, lany
attention, kiana lede
movin, kiana lede
good girl, kiana lede
chocolate, kiana lede ari lennox
second chances, kiana lede 6lack
cats got my tongue, trey songz
back home, trey songz
homicide love, james arthur
gang slide, blxst
train wreck, james arthur
set fire to the rain, adele
falling like the stars, james arthur
forever humble, blxst
